iter	Logloss
0	0.6533245256
1	0.6155153214
2	0.5892114971
3	0.568571698
4	0.5506135953
5	0.53499472
6	0.5232260707
7	0.5137275746
8	0.5068062333
9	0.5004896224
10	0.4941614731
11	0.4885058425
12	0.4837197432
13	0.4786217931
14	0.4739752632
15	0.4700849069
16	0.46691858
17	0.4629225473
18	0.459993378
19	0.4581512577
20	0.4559739001
21	0.4533336506
22	0.4507715903
23	0.4490645169
24	0.4470091957
25	0.4452558405
26	0.4436433704
27	0.4413394127
28	0.4395253627
29	0.4379144153
30	0.4360256162
31	0.434434297
32	0.4329479045
33	0.431650862
34	0.4301911744
35	0.4286802839
36	0.427511006
37	0.4265322302
38	0.4251699527
39	0.4243429574
40	0.4234559084
41	0.4220532057
42	0.4209694111
43	0.420137432
44	0.4187956965
45	0.4180826582
46	0.417545153
47	0.4170413535
48	0.4159788272
49	0.4146897959
50	0.4139902311
51	0.4131856147
52	0.4127030597
53	0.412140582
54	0.4111690123
55	0.4107284314
56	0.4097364776
57	0.4091101712
58	0.4079897993
59	0.4066695452
60	0.4061315142
61	0.4056346395
62	0.4046328081
63	0.4042119254
64	0.4036525188
65	0.4027908419
66	0.4022382151
67	0.4015453484
68	0.4003870321
69	0.4001237235
70	0.399164336
71	0.3989756413
72	0.3981539164
73	0.3977232206
74	0.3965910102
75	0.395985493
76	0.3955950323
77	0.3945704875
78	0.3939736152
79	0.3932880722
80	0.3929031519
81	0.3924488395
82	0.3920572258
83	0.3915492476
84	0.3912639489
85	0.3909367579
86	0.3906325581
87	0.3902923863
88	0.3898778292
89	0.3894955955
90	0.3886808748
91	0.3883056755
92	0.387379081
93	0.3870407772
94	0.3867524714
95	0.3864281731
96	0.3855881648
97	0.3851076412
98	0.3847244068
99	0.3844728022
100	0.3841505232
101	0.3839008016
102	0.3838574504
103	0.3834858561
104	0.3832061893
105	0.3828852695
106	0.3822446109
107	0.3819608686
108	0.3817963288
109	0.3809584823
110	0.380642309
111	0.3798258339
112	0.3793845045
113	0.3792082396
114	0.3788254436
115	0.3781806769
116	0.3778219062
117	0.3776277714
118	0.3770749632
119	0.3768744663
120	0.3766074162
121	0.3763284715
122	0.3759133496
123	0.3749961113
124	0.374368803
125	0.3740906746
126	0.373360449
127	0.3729937703
128	0.3721745206
129	0.3718743069
130	0.3716500194
131	0.371135662
132	0.3703932424
133	0.3696368481
134	0.3692263705
135	0.3688583648
136	0.3683823649
137	0.3677639374
138	0.3668012426
139	0.3662440918
140	0.3658064066
141	0.3648181138
142	0.3642065087
143	0.3634493657
144	0.3624075424
145	0.3616610184
146	0.3611877605
147	0.3607365227
148	0.3597317397
149	0.3591210977
150	0.3584205571
151	0.35769659
152	0.3569384171
153	0.3564371877
154	0.3560546408
155	0.3556683076
156	0.3551143937
157	0.3545898989
158	0.3537252702
159	0.353340076
160	0.3529869146
161	0.3526782665
162	0.3521796765
163	0.3517035937
164	0.3513285647
165	0.3505958039
166	0.3502654854
167	0.3495069258
168	0.3491068411
169	0.3485363481
170	0.3482200724
171	0.3475343185
172	0.3471662494
173	0.3467633415
174	0.3461147892
175	0.3454540203
176	0.3449052648
177	0.3444334365
178	0.3439328519
179	0.3435808601
180	0.3430692727
181	0.3423445249
182	0.3419571596
183	0.3414323157
184	0.3410073621
185	0.3407399444
186	0.3401875943
187	0.3398628288
188	0.3394200337
189	0.3390566087
190	0.338616716
191	0.3383541798
192	0.337566514
193	0.3366967865
194	0.3363836639
195	0.3360526452
196	0.3357043588
197	0.3352289537
198	0.3348592156
199	0.3343272048
200	0.3339549825
201	0.3334863752
202	0.3331716155
203	0.3328820732
204	0.3326184698
205	0.332170057
206	0.3319320845
207	0.3316399583
208	0.3313537084
209	0.3305852099
210	0.3303163637
211	0.3300421267
212	0.3296747611
213	0.3292096837
214	0.3288516598
215	0.3282799133
216	0.3280567575
217	0.3278022352
218	0.3276446389
219	0.3272020286
220	0.3269494252
221	0.3266101989
222	0.3263259461
223	0.3260855849
224	0.3256045385
225	0.3250499347
226	0.3247035485
227	0.32430203
228	0.3239028635
229	0.3237742552
230	0.3234248535
231	0.3228563491
232	0.3224476663
233	0.3220995287
234	0.3218641161
235	0.3216187836
236	0.3213239228
237	0.3210605533
238	0.320739897
239	0.3204298415
240	0.3201588065
241	0.3199184765
242	0.3195975601
243	0.3191964236
244	0.3186902529
245	0.3184943285
246	0.318150997
247	0.3177258806
248	0.3175177208
249	0.3170712825
250	0.3165508736
251	0.3163152308
252	0.3160435721
253	0.3156452424
254	0.3152263724
255	0.314963675
256	0.3147932381
257	0.3144401313
258	0.314168251
259	0.3138176529
260	0.3135737878
261	0.3131219697
262	0.3127944538
263	0.3124161852
264	0.3122772371
265	0.3120119495
266	0.3116816506
267	0.3114366061
268	0.3111745498
269	0.311063003
270	0.3106532372
271	0.3102181124
272	0.309847948
273	0.3097055355
274	0.3093786032
275	0.309170669
276	0.3088375933
277	0.3086218569
278	0.3083489362
279	0.3079906372
280	0.3075348912
281	0.3073123629
282	0.3069886551
283	0.3066815105
284	0.3065003689
285	0.3062556937
286	0.305978663
287	0.3057127346
288	0.3054622425
289	0.3050593661
290	0.3047254492
291	0.3045716717
292	0.3043773082
293	0.3039048719
294	0.303631451
295	0.3034482875
296	0.3031952293
297	0.3029144495
298	0.3025811723
299	0.3023745636
