iter	Passed	Remaining
0	2065	617444
1	4032	600882
2	6079	601860
3	7990	591293
4	8960	528648
5	10074	493651
6	12117	507188
7	14030	512106
8	15862	512902
9	17443	505861
10	19457	511200
11	21753	522090
12	23374	516031
13	24267	495742
14	25808	490361
15	27625	490350
16	29370	488930
17	30663	480393
18	31509	466010
19	33208	464923
20	34669	460611
21	36269	458308
22	37861	455983
23	38680	444825
24	39544	434989
25	41268	434904
26	43103	435822
27	44701	434239
28	45689	426961
29	46685	420167
30	48348	419541
31	49986	418637
32	51559	417164
33	52741	412625
34	53784	407227
35	55382	406136
36	57457	408416
37	59311	408940
38	60382	404099
39	62401	405607
40	64091	404870
41	65432	401943
42	67119	401157
43	68734	399909
44	70625	400209
45	71992	397523
46	74209	399467
47	75761	397746
48	77426	396612
49	78744	393721
50	80383	392460
51	81969	390930
52	83489	389094
53	85055	387474
54	86625	385878
55	88093	383837
56	89646	382176
57	91243	380706
58	92599	378245
59	94195	376781
60	95708	374990
61	97307	373536
62	98579	370846
63	100317	369918
64	102169	369382
65	104222	369514
66	105881	368213
67	107916	368184
68	109780	367526
69	111282	365642
70	112718	363555
71	114856	363711
72	116577	362509
73	118505	361923
74	120373	361121
75	122084	359828
76	123601	357962
77	124931	355573
78	126550	354019
79	128190	352524
80	129983	351435
81	131624	349928
82	132896	347453
83	134904	346897
84	136510	345292
85	138086	343611
86	139661	341930
87	141259	340306
88	142906	338801
89	144434	337014
90	145493	334155
91	147110	332597
92	148805	331212
93	150329	329445
94	151757	327476
95	153391	325957
96	154964	324306
97	156592	322772
98	158278	321352
99	159951	319903
100	161296	317801
101	162720	315869
102	163656	313013
103	165074	311102
104	166537	309283
105	168292	308007
106	170065	306753
107	171740	305316
108	173483	303993
109	175286	302768
110	177018	301410
111	178791	300113
112	180399	298537
113	182151	297194
114	183597	295353
115	184900	293289
116	186659	291954
117	188149	290196
118	189558	288320
119	190653	285980
120	192381	284597
121	193847	282827
122	195969	282004
123	197763	280696
124	199521	279330
125	201320	278013
126	203060	276610
127	204626	274967
128	206365	273553
129	207872	271832
130	209363	270094
131	211052	268612
132	212691	267063
133	214419	265623
134	216187	264229
135	217805	262647
136	219479	261132
137	221128	259585
138	222630	257866
139	224265	256303
140	225888	254725
141	227437	253064
142	229007	251427
143	230876	250115
144	232582	248622
145	234316	247156
146	236181	245821
147	238064	244498
148	239764	242982
149	241536	241536
150	243195	239973
151	245052	238603
152	246857	237177
153	248893	235964
154	250524	234361
155	252161	232764
156	254000	231350
157	255869	229958
158	257432	228289
159	259163	226768
160	261022	225354
161	263075	224101
162	264919	222661
163	266671	221142
164	268351	219560
165	270239	218145
166	272217	216795
167	274134	215391
168	275949	213901
169	277561	212252
170	279313	210710
171	281001	209117
172	282726	207550
173	284494	206013
174	286346	204533
175	287962	202882
176	290042	201554
177	291947	200098
178	293894	198666
179	295798	197199
180	297629	195678
181	299654	194281
182	301356	192670
183	303205	191151
184	305025	189610
185	306920	188112
186	308996	186719
187	310836	185178
188	313003	183827
189	315076	182412
190	317196	181018
191	319307	179610
192	321316	178138
193	323361	176682
194	325436	175235
195	327373	173708
196	329177	172108
197	331174	170604
198	332923	168971
199	334739	167369
200	336463	165720
201	338275	164113
202	339952	162440
203	341658	160780
204	343586	159222
205	345099	157472
206	346828	155821
207	347577	153736
208	349119	152009
209	350773	150331
210	352459	148667
211	353786	146854
212	355499	145204
213	356934	143441
214	358598	141771
215	360379	140147
216	361664	138332
217	362474	136343
218	364269	134729
219	366005	133092
220	367093	131223
221	368259	129388
222	370261	127848
223	371561	126065
224	373189	124396
225	374957	122773
226	376335	121024
227	378147	119414
228	380487	117967
229	382493	116410
230	383694	114609
231	385572	113012
232	386990	111280
233	388889	109686
234	390096	107899
235	391219	106093
236	392890	104439
237	394561	102784
238	395826	101026
239	397024	99256
240	397883	97407
241	399227	95682
242	400924	94043
243	402502	92377
244	403753	90638
245	404983	88898
246	406716	87271
247	408543	85662
248	409881	83951
249	410623	82124
250	411770	80385
251	413475	78757
252	415434	77175
253	417206	75557
254	418193	73798
255	419004	72016
256	420545	70363
257	422226	68734
258	424052	67127
259	424983	65382
260	426542	63736
261	428280	62117
262	430227	60526
263	432369	58959
264	433337	57233
265	434145	55492
266	435857	53870
267	437647	52256
268	438951	50585
269	439735	48859
270	441046	47196
271	442646	45566
272	444427	43954
273	446364	42355
274	448101	40736
275	449104	39052
276	450711	37423
277	452424	35803
278	454094	34179
279	455049	32503
280	456967	30898
281	459034	29300
282	461212	27705
283	462852	26076
284	464122	24427
285	466135	22817
286	467861	21192
287	469210	19550
288	470771	17918
289	472683	16299
290	474301	14669
291	476114	13044
292	477360	11404
293	479290	9781
294	481225	8156
295	482705	6523
296	483727	4886
297	485510	3258
298	487298	1629
299	488801	0
